Date,Location,Pint,Number,Cost (per pint),Company,Comments,Spend,Column 1,Column 2,Column 3
12/07/2025,"The Star of Kings, King's Cross",Camden Hells,4,£6.70,Jess C,Jess' Birthday,£26.80,,,
16/07/2025,"WG Grace Bar, Lord's Cricket Ground",Wingman,3,£7.50,"Rick, Akshay, Sachin",,£22.50,,,
16/07/2025,"WG Grace Bar, Lord's Cricket Ground",Punk IPA,2,£7.50,"Rick, Akshay, Sachin",,£15.00,,,
17/07/2025,"Crown and Sceptre, Fitzrovia",Guinness,1,£7.80,Kit,,£7.80,,,
17/07/2025,"Kings Arms, Fitzrovia",Guinness,1,£7.20,Kit,,£7.20,,,
17/07/2025,"The Green Man, Fitzrovia",Guinness,1,£6.50,Kit,,£6.50,,,
17/07/2025,"The Queen Charlotte, Fitzrovia",Hazy Jane,1,£6.50,Kit,,£6.50,,,
17/07/2025,"The Founders Arms, Blackfriars",Guinness,4,£7.50,"Tom H, Dan V, Guy, Dom",,£30.00,,,
18/07/2025,"Mr Foggs Tavern, Covent Garden",Guinness,3,£7.80,"Roisin, Ciara, Jim",,£23.40,,,
18/07/2025,"All My Friends, Hackney Wick",Metro,4,£6.60,"Martha, Faye, Alex",,£26.40,,,
,,,3.5,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
,,,,,,,£0.00,,,
