Date,Location,Pint,Number,Cost (per pint),Company,Comments,Spend,Column 1,Column 2,Column 3
04/03/2025,"Kricket, Shoreditch",Kricket IPA,2,£7.35,"Anna, Finn",,£14.70,,,
04/03/2025,"Pride of Spitalfields, Aldgate",Guinness,1,£6.00,"Anna, Finn",,£6.00,,,
05/03/2025,"Bundobest, Manchester",Python,1,£6.00,"Rosalin, Ellen, Abeer, Greg",,£6.00,,,
05/03/2025,"Peveril of the Peak, Manchester ",Guinness,4,£6.20,"Rosalin, Ellen, Abbie",,£24.80,,,
05/03/2025,"The Britons Protection, Manchester",Guinness,1,£6.50,"Rosalin, Ellen, Abbie",,£6.50,,,
05/03/2025,"The Britons Protection, Manchester",Neck Oil,1,£6.50,"Rosalin, Ellen, Abbie",,£6.50,,,
06/03/2025,"Commercial Tavern, Shoreditch",Guinness,1,£6.00,"Charlie, Mon",,£6.00,,,
06/03/2025,"X & Why, Manchester",Mango IPA,1,£3.75,Rosalin,,£3.75,,,
07/03/2025,"The Axe, Stoke Newington ",London Black,2,£6.50,"Finn, Anna",,£13.00,,,
07/03/2025,"Tamesis Dock, vauxhall",Guinnes,6,£6.60,,Nina 30th,£39.60,,,
07/03/2025,"Mc & Sons, Vauxhall ",Guinness ,1,£6.90,"Hannah, Becky, Alex, Jamie, Dan R, Issy, Jo H",,£6.90,,,
08/03/2025,"White Hart, Waterloo",Guinness,4,£6.95,"Ash, Pablo, Mike",,£27.80,,,
08/03/2025,"Wellington, Waterloo",Guinness,1,£7.00,"Ash, Pablo",,£7.00,,,
08/03/2025,"Green Room, Southbank",Madri,2,£6.75,"Ash, Pablo, Mike",,£13.50,,,
08/03/2025,"Spread Eagle, Homerton",Guinness,4,£6.50,"Martha, Laura, Rufus, Emmeline, James, Alex F, Ania",,£26.00,,,
11/03/2025,"The Culpepper, Aldgate",Five Points XPA,2,£6.70,Kit,,£13.40,,,
11/03/2025,"Prince of Wales, Highgate",Guinness,3,£6.55,"Stan, Noah, Zoe",Sean the chaser pub quiz,£19.65,,,
12/03/2025,"Railway Tavern, Dalston",Guinness,3,£6.70,Roisin,,£20.10,,,
13/03/2025,The Duke of York,Guinness,2,£6.80,Martha,,£13.60,,,
14/03/2025,"Markthal, Rotterdam",Heineken,2,£8.00,"Martha, Noah",,£16.00,,,
14/03/2025,"Bokaal Rotterdam, Rotterdam",Brand Wiezen,3,£8.00,"Martha, Noah",,£24.00,,,
15/03/2025,Hops,Heineken,2,£7.50,"Martha, Noah",,£15.00,,,
16/03/2025,"Bokaal Rotterdam, Rotterdam",Canary,1,£11.00,"Martha, Noah",,£11.00,,,
16/03/2025,"Wunderbar, Rotterdam",Pilsner,2,£7.50,"Martha, Noah",,£15.00,,,
16/03/2025,"Dutch Dukes, Rotterdam",Guinness,1,£8.00,"Martha, Noah",,£8.00,,,
16/03/2025,"Dutch Dukes, Rotterdam",Heineken,1,£7.50,"Martha, Noah",,£7.50,,,
18/03/2025,"Queens Head, Kings Cross",Mamka,1,£6.00,"Sam, Mark",,£6.00,,,
18/03/2025,"Queens Head, Kings Cross",Orbie,2,£6.20,"Sam, Mark",,£12.40,,,
18/03/2025,"Queens Head, Kings Cross",Orbit Pale Ale,1,£6.00,"Sam, Mark",,£6.00,,,
21/03/2025,"London Hospital Tavern, Whitechapel",Guinness,4,£7.00,"Laurie, Tor, Els, Monty, Miranda",Pint 200 motherfucker,£28.00,,,
21/03/2025,"London Hospital Tavern, Whitechapel",Neck Oil,1,£7.00,"Laurie, Tor, Els, Monty, Miranda",,£7.00,,,
21/03/2025,"The Victoria, Dalston",House Pale,1,£7.00,"Laurie, Tor, Els, Monty, Miranda",,£7.00,,,
26/03/2025,"The Met Bar, Ventnor",Stonewall IPA,1,£5.20,"Rick, Lynn",,£5.20,,,
28/03/2025,"The Mill Bay, Ventnor",Madri,1,£5.40,"Rick, Lynn",,£5.40,,,
29/03/2025,"The Buddle Inn, Niton",Guinness,4,£5.00,"Rick, Lynn",,£20.00,,,
31/03/2025,"The Hemingford Arms, Islington",Guinness,3,£6.45,"Imi, Lucia",,£19.35,,,
01/04/2025,"Hackney Picturehouse, Hackney",Camden Pale,1,£6.70,Roisin,,£6.70,,,
02/04/2025,"The Woolpack, Bermondsey",Guinness,2,£7.50,Ellie S,,£15.00,,,
04/04/2025,"The Talbot, De Beauvoir",Guinness,3,£6.50,Sarah D,,£19.50,,,
04/04/2025,"The Talbot, De Beauvoir",Guinness,2,£6.50,"Sarah D, Jez",,£13.00,,,
04/04/2025,"The Myddleton Arms, Essex Road",Guinness,1,£6.40,Roisin,,£6.40,,,
05/04/2025,"King William IV, Mickleham",Guinness,1,£6.50,"Dan R, Jeremy, Alex, Hampus",STAG,£6.50,,,
05/04/2025,"The Stepping Stones, Box Hill",Guinness,1,£6.60,"Dan R, Jeremy, Alex, Hampus",STAG,£6.60,,,
05/04/2025,"Paper Dress Vintage, Hackney",Generic Lager,2,£6.80,Leo's,,£13.60,,,
08/04/2025,"London Hospital Tavern, Whitechapel",Guinness,2,£7.00,Kit,,£14.00,,,
08/04/2025,"Duke of Wellington, Haggerston",Guinness,2,£6.00,Martha,,£12.00,,,
09/04/2025,"Fentiman Arms, Vauxhall",Guinness,7,£7.50,"Pete, GB, Avani, Nikhita, Paolo",,£52.50,,,
09/04/2025,"The Derby, Oval",Guinness,1,£7.00,"Pete, Nikhita",,£7.00,,,
11/04/2025,"The Scolt Head, De Beauvoir",Guinness,4,£5.90,"Conor, Dan, Sachin",,£23.60,,,
13/04/2025,"The Canonbury Tavern, Canonbury ",Guinness,1,£7.50,"Roisin, Beth, Ally",,£7.50,,,
